Territory,County,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS
CENTRAL,EMBU,bar soap,NDUME,56218.61,0.13033433,0.076233969,10.97780161,0.13033433,1.430784419
CENTRAL,EMBU,bar soap,POPCO,4010,0.034227898,0.022717448,46.92278541,1,46.92278541
CENTRAL,EMBU,bar soap,USHINDI,7295.5,0.203110623,0.100144162,58.4682421,0.58738635,34.34344733
CENTRAL,EMBU,bar soap,WHITEWASH,15085.975,0.066839905,0.128405461,42.318709,0.545679175,23.09243823
CENTRAL,EMBU,bathing soap,4U,798,0.01574465,0.063614804,53.20323492,0.20722135,11.02484617
CENTRAL,EMBU,bathing soap,AFRISENSE,50.64,0.027734059,0.096107039,63.6623003,0.275040355,17.50970165
CENTRAL,EMBU,bathing soap,DETREX,3968.207,0.060301198,0.133244595,66.28906039,0.348291215,23.08789736
CENTRAL,EMBU,bathing soap,DIVA,28.8,0.018104581,0.048242991,52.46461961,0.226266433,11.87098232
CENTRAL,EMBU,bathing soap,SAWA,1376.11,0.010884668,0.009020148,43.84369783,0.397614322,17.43288219
CENTRAL,EMBU,detergent,USHINDI,0,0,0,64.84676405,,
