,Territory,County,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,White Space Score,WEIGHT,AWS,overall_coverage_pct,Opportunity Score
67,CENTRAL,KIRINYAGA,bathing soap,AFRISENSE,20.1975,0.0109372,0.038331791,63.6623003,0.108464885,6.905124061,48.59,3.5499242797601003
68,CENTRAL,KIRINYAGA,bathing soap,DETREX,6059.577111,0.092081829,0.203468694,66.28906039,0.531851658,35.25594668,48.59,18.125082188188
69,CENTRAL,KIRINYAGA,bathing soap,DIVA,76.8,0.04867735,0.128647975,52.46461961,0.608357083,31.91722296,48.59,16.408644323736
70,CENTRAL,KIRINYAGA,bathing soap,SAWA,2435.075,0.01926119,0.015961469,43.84369783,0.70360669,30.84871911,48.59,15.859326494451
71,CENTRAL,KIRINYAGA,bodywash,SAWA,12.43,9.78e-05,8.15e-05,50.01920131,0.138167175,6.911011734,48.59,3.5529511324493996
72,CENTRAL,KIRINYAGA,detergent,USHINDI,0.0,0.0,0.0,64.84676405,,,48.59,
73,CENTRAL,KIRINYAGA,dishwashing liquid,USHINDI,608.866,0.016951155,0.008357806,64.84676405,0.176070617,11.41760975,48.59,5.869793172475
74,CENTRAL,KIRINYAGA,dishwashing paste,USHINDI,492.8,0.013719816,0.006764587,64.84676405,0.222543353,14.43121628,48.59,7.419088289547999
75,CENTRAL,KIRINYAGA,fat,DIRIA,360.0,0.004359427,0.012521848,47.16697108,0.03611457,1.703414896,48.59,0.8757255980336
76,CENTRAL,KIRINYAGA,fat,FRYKING,300.5,0.150240854,0.109751644,48.03585969,0.150240854,7.216948585,48.59,3.7102332675485
77,CENTRAL,KIRINYAGA,fat,FRYMATE,3311.5,0.093460586,0.086935177,37.92318682,0.238743455,9.053912665,48.59,4.6546165010765
78,CENTRAL,KIRINYAGA,fat,MPISHI POA,1868.178167,0.081840591,0.08347367,41.53469221,0.142530105,5.919944044,48.59,3.0434432330204
79,CENTRAL,KIRINYAGA,glycerine,DIVA,22.53691667,0.014115419,0.037751676,50.01920131,0.161979234,8.102071895,48.59,4.1652751612195
80,CENTRAL,KIRINYAGA,glycerine,SAWA,792.7236944,0.006270022,0.005196158,50.01920131,0.646210198,32.32291797,48.59,16.617212128377
81,CENTRAL,KIRINYAGA,lotion,BELLEZA,1017.556167,0.302796643,0.127896641,50.01920131,0.574757937,28.74893297,48.59,14.779826439876999
82,CENTRAL,KIRINYAGA,lotion,FRESCO,645.6342083,0.282482674,0.115990266,50.01920131,0.484343472,24.22647363,48.59,12.454830093183
83,CENTRAL,KIRINYAGA,margarine,ONJA,629.75,0.139037729,0.142541874,95.89977833,0.53034134,50.85961695,48.59,26.146929073995
84,CENTRAL,KIRINYAGA,milking jelly,SAWA,2246.796,0.017771884,0.014727335,68.53715579,0.545811799,37.40838831,48.59,19.231652430171
85,CENTRAL,KIRINYAGA,oil,FRESH FRI,61578.8175,0.348894702,0.223393348,44.40835361,1.0,44.40835361,48.59,22.830334590901
86,CENTRAL,KIRINYAGA,oil,FRESH ZAIT,2993.76,0.056304788,0.985337243,44.25655162,1.0,44.25655162,48.59,22.752293187842003
87,CENTRAL,KIRINYAGA,oil,POPCO,6941.427667,0.059361186,0.039324568,44.00430178,0.091174115,4.012053256,48.59,2.0625965789096
88,CENTRAL,KIRINYAGA,oil,SALIT,236801.255,0.982451963,0.209932285,33.57641678,0.982451963,32.98721658,48.59,16.958728043778002
89,CENTRAL,KIRINYAGA,petroleum jelly,SAWA,174.59,0.001380521,0.001144405,68.53715579,0.712562901,48.83703457,48.59,25.107119472437
90,CENTRAL,KIRINYAGA,toilet soap,SAWA,18639.86868,0.147442781,0.122180911,43.84369783,0.526663296,23.0908664,48.59,11.87101441624
91,CENTRAL,LAIKIPIA,bar soap,NDUME,1060.0,0.002457449,0.001437389,10.97780161,0.002457449,0.026977392,5.22,0.0255691721376
92,CENTRAL,LAIKIPIA,bar soap,POPCO,130.0,0.000961802,0.000736476,46.92278541,0.028099935,1.318527238,5.22,1.2497001161763999
93,CENTRAL,LAIKIPIA,bar soap,USHINDI,1556.15,0.043324049,0.021361022,58.4682421,0.125291107,7.325550758,5.22,6.9431570084324
94,CENTRAL,LAIKIPIA,bar soap,WHITEWASH,1721.525,0.007617082,0.014652895,42.318709,0.062185651,2.631616456,5.22,2.4942460769968
95,CENTRAL,LAIKIPIA,bathing soap,4U,114.0,0.002146998,0.009087829,53.20323492,0.028257457,1.503388114,5.22,1.4249112544492
96,CENTRAL,LAIKIPIA,bathing soap,AFRISENSE,41.085,0.022462022,0.077973098,63.6623003,0.222757243,14.18123852,5.22,13.440977869256
97,CENTRAL,LAIKIPIA,bathing soap,DETREX,505.04,0.007674629,0.016958251,66.28906039,0.044327575,2.938433324,5.22,2.7850471044872
98,CENTRAL,LAIKIPIA,bathing soap,DIVA,17.0,0.010588776,0.028476765,52.46461961,0.132335814,6.94294816,5.22,6.580526266048
99,CENTRAL,LAIKIPIA,bathing soap,SAWA,561.83,0.004443629,0.003682692,43.84369783,0.162324709,7.116915477,5.22,6.7454124891006
100,CENTRAL,LAIKIPIA,bodywash,SAWA,12.42,9.77e-05,8.14e-05,50.01920131,0.138055446,6.905423127,5.22,6.5449600397706
101,CENTRAL,LAIKIPIA,detergent,USHINDI,0.0,0.0,0.0,64.84676405,,,5.22,
102,CENTRAL,LAIKIPIA,dishwashing liquid,USHINDI,138.9535,0.00386854,0.001907392,64.84676405,0.040182287,2.605691295,5.22,2.469674209401
103,CENTRAL,LAIKIPIA,dishwashing paste,USHINDI,52.0,0.001447708,0.000713796,64.84676405,0.023482659,1.522774445,5.22,1.443285618971
104,CENTRAL,LAIKIPIA,fat,DIRIA,456.25,0.00556516,0.015869703,47.16697108,0.046103155,2.174546171,5.22,2.0610348608737996
105,CENTRAL,LAIKIPIA,fat,FRYKING,24.0,0.006249186,0.008765522,48.03585969,0.006249186,0.300185036,5.22,0.2845153771208
106,CENTRAL,LAIKIPIA,fat,FRYMATE,762.6,0.021403209,0.020020162,37.92318682,0.054674129,2.073417205,5.22,1.9651848268990002
107,CENTRAL,LAIKIPIA,fat,MPISHI POA,890.4026667,0.03895842,0.039784845,41.53469221,0.067848334,2.818059689,5.22,2.6709569732342
108,CENTRAL,LAIKIPIA,glycerine,SAWA,353.7328403,0.002797559,0.002318654,50.01920131,0.288326128,14.42184265,5.22,13.66902246367
